Job Title,Skills_Required
Full Stack Developer,"Java, NodeJS, Ruby, Scala, Python, Powershell, Bash, Azure, AWS, Javascript, CSS"
Full Stack Java Engineer,"AngularJS, React, MongoDB, SQL Server, MySQL, Postgres, Cassandra, Oracle"
Full Stack Engineer,"Python, Node, .NET, CSharp, JavaScript, Node, React, SASS/CSS"
Full-Stack Python Developer,"Linux, Python, REST, AWS"
Full Stack Javascript Engineer,"Node, React, Javascript, AWS, PostgreSQL"
Full Stack Developer,"Java, Linux"
Python Developer,"Python, Django, PostgreSQL, Data Structures, Data Flows"
Full Stack Python Developer,"Linux, Python, REST, AWS"
Full Stack Engineer,"AngularJS, Apache, Business Requirements, Java, Javascript, Linux"
System Administrator,"Linux and Windows Administration, Networking, Switches"
Application Administrator,"Perl, Linux, DevOps, SQL, PL/SQL, Oracle, Python, ETL, Bash"
Java Developer - Full Stack,"Spring MVC, JPA, REST, Jackson, SOA, JPA"
Full Stack Software Engineer,"Python, Node.js, Angular"
Full Stack .NET Developer,"CSharp, ASP.NET, SQL Server, HTML, CSS, JavaScript"
Full Stack Developer,"HTML5, JQuery, CSS, AngularJS, JavaScript, SaaS, Bootstrap"
Full Stack SDE,"Node.js, AngularJS, Java, React, REST, SQL, HTML, CSS, Javascript, OOP"
Senior Software Engineer,"Java, Spring, SQL, Microservices, Docker, Kubernetes, AWS"
Frontend Developer,"HTML, CSS, JavaScript, React, Redux, TypeScript"
Backend Developer,"Java, Spring Boot, Hibernate, SQL, REST APIs, Docker"
Data Scientist,"Python, R, SQL, Machine Learning, TensorFlow, Pandas"
Senior Data Scientist,"Python, R, SQL, Machine Learning, Deep Learning, Big Data, Spark"
DevOps Engineer,"AWS, Docker, Kubernetes, Jenkins, Terraform"
Senior DevOps Engineer,"AWS, Docker, Kubernetes, Jenkins, Terraform, Ansible, CI/CD"
QA Tester,"Selenium, JUnit, Test Automation, Manual Testing"
Senior QA Engineer,"Selenium, JUnit, Test Automation, Load Testing, Security Testing"
Mobile Developer,"Swift, Kotlin, Java, React Native, iOS, Android"
Senior Mobile Developer,"Swift, Kotlin, Java, React Native, iOS, Android, REST APIs"
Cloud Architect,"AWS, Azure, Google Cloud, Terraform, Kubernetes"
Security Engineer,"Network Security, Penetration Testing, SIEM, Firewall, VPN"
Senior Security Engineer,"Network Security, Penetration Testing, SIEM, Firewall, VPN, Incident Response"
Network Engineer,"Cisco, Juniper, Routing, Switching, Firewall"
Senior Network Engineer,"Cisco, Juniper, Routing, Switching, Firewall, VPN, Network Design"
Database Administrator,"SQL Server, MySQL, PostgreSQL, Oracle, Database Tuning"
Senior Database Administrator,"SQL Server, MySQL, PostgreSQL, Oracle, Database Tuning, Clustering"
Business Analyst,"Business Analysis, Requirements Gathering, SQL, Data Analysis"
Senior Business Analyst,"Business Analysis, Requirements Gathering, SQL, Data Analysis, Project Management"
Scrum Master,"Scrum, Agile, Project Management, JIRA, Confluence"
Project Manager,"Project Management, PMP, Agile, Scrum, MS Project"
Product Manager,"Product Management, Agile, Roadmaps, User Stories, Market Research"
UX Designer,"UX Design, Wireframing, Prototyping, User Research, Figma"
UI Designer,"UI Design, Sketch, Adobe XD, Figma, CSS, HTML"
Graphic Designer,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator"
Technical Writer,"Technical Writing, Documentation, API Documentation, MS Word, Confluence"
IT Support Specialist,"IT Support, Troubleshooting, Windows, MacOS, Linux"
Systems Engineer,"Linux, Windows, VMware, Active Directory, Shell Scripting"
Senior Systems Engineer,"Linux, Windows, VMware, Active Directory, Shell Scripting, Automation"
Web Developer,"HTML, CSS, JavaScript, PHP, WordPress"
Senior Web Developer,"HTML, CSS, JavaScript, PHP, WordPress, React, Node.js"
AI Engineer,"Machine Learning, AI, Python, TensorFlow, Keras, NLP"
Machine Learning Engineer,"Machine Learning, Python, Scikit-Learn, TensorFlow, Data Mining"
Blockchain Developer,"Blockchain, Ethereum, Solidity, Smart Contracts, Hyperledger"
Embedded Systems Engineer,"C, C++, Embedded Systems, RTOS, Microcontrollers"
Senior Embedded Systems Engineer,"C, C++, Embedded Systems, RTOS, Microcontrollers, Firmware"
IoT Engineer,"IoT, MQTT, CoAP, Embedded Systems, Sensors"
Robotics Engineer,"Robotics, ROS, C++, Python, Machine Vision"
Game Developer,"C++, Unity, Unreal Engine, Game Design, 3D Modeling"
Senior Game Developer,"C++, Unity, Unreal Engine, Game Design, 3D Modeling, Multiplayer Networking"
IT Manager,"IT Management, Team Leadership, Project Management, Network Administration"
ERP Consultant,"ERP, SAP, Oracle, Business Processes, Data Migration"
CRM Consultant,"CRM, Salesforce, Microsoft Dynamics, Business Processes, Data Migration"
Technical Support Engineer,"Technical Support, Troubleshooting, Customer Service, Windows, MacOS, Linux"
Software Architect,"Software Architecture, Design Patterns, Microservices, Java, .NET"
Senior Software Architect,"Software Architecture, Design Patterns, Microservices, Java, .NET, Cloud"
Solution Architect,"Solution Architecture, Cloud, AWS, Azure, GCP, Microservices"
Data Engineer,"Data Engineering, SQL, Python, ETL, Big Data, Spark"
Senior Data Engineer,"Data Engineering, SQL, Python, ETL, Big Data, Spark, Kafka"
Network Administrator,"Network Administration, Cisco, Juniper, Routing, Switching"
Cloud Engineer,"Cloud Engineering, AWS, Azure, Google Cloud, Terraform, Kubernetes"
Senior Cloud Engineer,"Cloud Engineering, AWS, Azure, Google Cloud, Terraform, Kubernetes, DevOps"
IT Consultant,"IT Consulting, Project Management, Business Analysis, SQL, Data Analysis"
SAP Consultant,"SAP, ABAP, FICO, SD, MM, PP, Data Migration"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning, SOQL"
Senior Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning, SOQL, Integration"
DevSecOps Engineer,"DevSecOps, AWS, Docker, Kubernetes, Jenkins, Security"
IT Auditor,"IT Audit, Compliance, Risk Management, SOX, Internal Controls"
Senior IT Auditor,"IT Audit, Compliance, Risk Management, SOX, Internal Controls, Cybersecurity"
Software Developer,"Java, C#, Python, SQL, Git"
Senior Software Developer,"Java, C#, Python, SQL, Git, Microservices, Docker"
